entity_type,original_id,duplicate_id,variation_type,field_name
ContactPoint,12f175ff-ae3b-46ec-9a27-d85888c132ad,efa8ab87-89ce-40a3-b4fb-af5ff05faa92,omission,fax
ContactPoint,eb21a3f6-e6fd-48e8-969c-91c278601602,cabc7c88-4d42-4606-a2af-d8179998c610,omission,fax
ContactPoint,122411e6-ba89-42dd-85e6-9ea9db66bfda,5d01f96e-84d2-4ff8-b18d-fe48ca730040,omission,fax
ContactPoint,0932f5b6-f11d-4ff7-8e37-05265582a3bd,ec6321ea-60aa-423d-8d7a-999c5ab5ed01,omission,fax
ContactPoint,ef151673-a1df-4da7-9d44-c93e7799a8e2,7c781d92-534a-4aaf-a61c-bce5c63631ee,omission,fax
ContactPoint,74151acc-f5a3-4893-bf7a-27482cbb93c2,2630dd6c-6ff8-4971-8d46-18751a0d2c72,omission,fax
ContactPoint,9177b6d4-5f2e-4167-b13e-ceb14ad12b4c,9d6acf61-69f3-4924-a5d7-8cffe90ff783,omission,fax
ContactPoint,23254d81-2bdf-4727-9501-e917496dc27b,43ee3a98-f7fd-4730-808e-e2f0b4682696,omission,fax
ContactPoint,b4480761-505e-4c9b-8bc8-8bcf7b1d4049,7e3af6ff-5c49-4d45-9065-0d22f73d63ce,omission,fax
ContactPoint,57627626-2037-4089-b11f-a10a0b2975c6,1421edd8-4917-4b35-a34a-e6e9da391146,omission,fax
ContactPoint,4e98ce25-1733-4a7c-93e8-36639c14940d,2c9b9c29-8d87-4aea-9a53-ee6e5cc33b1e,omission,fax
ContactPoint,7680891b-6bb6-404e-a0db-22d329e316ad,8b2133d1-7a05-4f44-9ef0-f5cf1adf729d,omission,fax
ContactPoint,29502326-7644-4183-9aab-d22d75ef8aab,9ebbc757-b59b-4386-b239-47b1d07b139f,omission,fax
ContactPoint,fae3fcee-7636-4fd9-8376-ffa876fe579f,e5b057bf-1cab-4116-98c6-3196f8daa82b,omission,fax
ContactPoint,eec9fa67-4cc6-42fc-b006-ff85166a1a98,8a75f05d-04c6-472a-9925-83d8922ad7a1,omission,fax
ContactPoint,42f81126-6c2c-40a7-a4e9-031675f80092,b8d1ce6c-54a9-4937-a85d-d7f437214c60,omission,fax
ContactPoint,d41cc2bc-e335-4f8b-91d5-6acf680fe5e2,c293b8f9-ef44-4a4b-8833-bcb1ff4006a8,omission,fax
ContactPoint,74286356-3c91-4458-a4b2-7e8301cbd9c2,10552d42-fcbb-4a03-8edb-d6ad46d5a5d5,omission,fax
ContactPoint,091523be-650f-4375-a0fc-01e2bcd635cc,df7cc604-c60f-4337-ac15-f357200ab3a9,omission,fax
ContactPoint,b5eca796-dc5f-4db7-87b5-2a8b0af01e69,3661dddb-bfa4-4354-959e-50211eb9724e,omission,fax
ContactPoint,5536212a-58d7-46da-8f01-3f4e73961f8e,58716907-8c3b-4c36-8471-d4f8e5cd853c,omission,fax
ContactPoint,c6d82ceb-a1ac-4d49-8d4d-daab72824622,9d4b5a27-c315-4e47-9b04-a845ed3176b5,omission,fax
ContactPoint,c784499d-6909-4290-9496-a305314a332e,0d3858d7-050b-4714-bed8-c758bde9c80c,omission,fax
ContactPoint,24fa9196-f801-4987-8008-cccf565e5ae7,20d392e5-6102-433b-b06a-803967ff65cb,omission,fax
ContactPoint,2a630fd1-71cf-439d-aa1f-ff41af1b7013,0f2cb91a-47d5-47d9-bc2e-590e06a4549f,omission,fax
ContactPoint,e16e3336-77b1-4e21-bccc-c53ac36a4162,e99f8beb-c132-4441-8c8e-ce8d7fdbd2dd,omission,fax
ContactPoint,84ddf869-b816-4f1a-9677-013ba8e19b83,946d02e5-378a-4eb1-98d4-d705478a3511,omission,fax
ContactPoint,eb5d11e8-b6d2-4ba9-a517-3d1cf7fc0bd9,2410a9c3-4d20-4e1b-b962-4b56b3025119,omission,fax
ContactPoint,7df8b7f0-44a1-44d0-96df-fc21b1c2ed56,497a587c-2792-4284-8ae7-3bfbec2d410d,omission,fax
ContactPoint,80082244-1ac5-443b-b7dd-3c21e618d25d,418e0c4d-0fc5-42d6-8a63-b0fa4ab0c5ff,omission,fax
ContactPoint,66ab247a-75fe-400c-8407-32b4ef1772f4,57b20ab0-1e72-450d-ab1e-517c3ffd3c7c,omission,fax
ContactPoint,a7486875-29bd-4604-bed2-7848c6950d85,a978404b-7e6b-419a-8d88-d1e189c03e78,omission,fax
ContactPoint,49556582-7e54-4d03-aef4-2592ec1c6fe4,7e8bea48-cded-4505-99a3-9f86933794b7,omission,fax
ContactPoint,047595fb-338b-4372-a00c-ea03b7d52dce,688735ff-7711-4104-a6d6-280b27f73d30,omission,fax
ContactPoint,a1fa46f3-4668-4cdd-b5f9-8f4110a15299,b09eed71-e07f-4027-b7a5-ca7063895c7d,omission,fax
ContactPoint,0aa1ee6f-1b04-4aa4-a3f3-3d5519248947,2b614a3c-ce74-4ddc-89fb-02b1049b233e,omission,fax
ContactPoint,5aa970d9-801a-4ff7-a6cd-d662c4e813db,8fb5125c-8477-4401-8f14-7dfcca74bd85,omission,fax
ContactPoint,cec1871a-b5c8-4060-89c7-35079d592a7b,12139cc8-257c-48e3-8268-ebcd3f64b1f7,omission,fax
ContactPoint,d24f6919-7d1d-439e-b453-6a9b7ecbcd45,ba2fe2f9-803b-478d-8ff7-adac1e61b12f,omission,fax
ContactPoint,7e39fd94-f850-4bec-a7f5-794c007ea2cb,9b968e8f-35e5-45ad-bb84-d0171b20945f,omission,fax
ContactPoint,c47090c6-bad8-4464-959b-0d078f022246,4b8a0e27-7300-47c9-bb6e-0475f267546c,omission,fax
ContactPoint,28986430-fabd-4787-bd5a-95ecc315c8b0,0b2eea40-8a78-43c3-85ec-65b153700617,omission,fax
ContactPoint,88bf1035-d8cf-4d5c-b35c-f88bfae203e1,1ba2c869-806b-4615-8f7f-dec6e85bd813,omission,fax
ContactPoint,50bbd1c7-f01c-4cc7-bb87-c961fa17e092,72bf86a2-0b24-4fd4-a517-7c6d95d5ce45,omission,fax
ContactPoint,689f2d23-100a-4f24-8dd1-5beb5d98abc9,9e62243f-3262-45dc-9f4e-8f832ca9a68a,omission,fax
ContactPoint,e9e1a3d1-1a12-4068-815c-77ed779571dd,fe32623c-f320-4f3e-b8a1-60abd914a7c7,omission,fax
ContactPoint,da47b8f9-cee4-4404-9648-1f4b0c747a90,c579424d-6270-4079-84c6-c2ecb2600588,omission,fax
ContactPoint,5351c342-5b7c-48ed-b239-6f882516de06,f6d0e273-32a8-4e0b-beea-26d734630a5b,omission,fax
ContactPoint,6efeb18f-aaa6-4ef9-bbb6-ba4c140ab78e,09c4f895-1d9a-49a7-b9b7-3d0c4656e92a,omission,fax
ContactPoint,4f5ab827-3b33-445b-952b-c38cce0790d7,58dce020-d670-474c-a069-3e43b7c43c14,omission,fax
