head_id,head_label,relation_id,relation_label,tail_id,tail_label,score,score_normalized
513,http://example.org/HealthcareOrganization/06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,1,http://www.w3.org/2002/07/owl#sameAs,541,http://example.org/HealthcareOrganization/dcda33e1-e0d4-4e5e-b609-1eacd226d330,-6.2826366,0.76213795
513,http://example.org/HealthcareOrganization/06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,1,http://www.w3.org/2002/07/owl#sameAs,532,http://example.org/HealthcareOrganization/953e26e3-fc1c-4b72-b4c5-f252799e3f62,-6.38489,0.7612736
538,http://example.org/HealthcareOrganization/c7405255-25cf-41c4-9c89-929692b035e0,1,http://www.w3.org/2002/07/owl#sameAs,541,http://example.org/HealthcareOrganization/dcda33e1-e0d4-4e5e-b609-1eacd226d330,-6.4854794,0.76042116
532,http://example.org/HealthcareOrganization/953e26e3-fc1c-4b72-b4c5-f252799e3f62,1,http://www.w3.org/2002/07/owl#sameAs,538,http://example.org/HealthcareOrganization/c7405255-25cf-41c4-9c89-929692b035e0,-6.543192,0.75993115
520,http://example.org/HealthcareOrganization/4a863655-0a9d-499c-a269-8c2d614f1ddc,1,http://www.w3.org/2002/07/owl#sameAs,540,http://example.org/HealthcareOrganization/d84356fb-13c2-40f6-8e05-27241529f5af,-6.605201,0.7594039
528,http://example.org/HealthcareOrganization/71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,1,http://www.w3.org/2002/07/owl#sameAs,540,http://example.org/HealthcareOrganization/d84356fb-13c2-40f6-8e05-27241529f5af,-6.639735,0.7591099
512,http://example.org/HealthcareOrganization/037d9752-48f3-431c-8fb7-c3bb4408c04c,1,http://www.w3.org/2002/07/owl#sameAs,540,http://example.org/HealthcareOrganization/d84356fb-13c2-40f6-8e05-27241529f5af,-6.728724,0.75835127
520,http://example.org/HealthcareOrganization/4a863655-0a9d-499c-a269-8c2d614f1ddc,1,http://www.w3.org/2002/07/owl#sameAs,532,http://example.org/HealthcareOrganization/953e26e3-fc1c-4b72-b4c5-f252799e3f62,-6.7785873,0.75792545
512,http://example.org/HealthcareOrganization/037d9752-48f3-431c-8fb7-c3bb4408c04c,1,http://www.w3.org/2002/07/owl#sameAs,519,http://example.org/HealthcareOrganization/3e332f35-086c-4768-b0fe-3cfc991ab513,-6.845083,0.75735676
520,http://example.org/HealthcareOrganization/4a863655-0a9d-499c-a269-8c2d614f1ddc,1,http://www.w3.org/2002/07/owl#sameAs,541,http://example.org/HealthcareOrganization/dcda33e1-e0d4-4e5e-b609-1eacd226d330,-6.90736,0.7568234
537,http://example.org/HealthcareOrganization/c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,1,http://www.w3.org/2002/07/owl#sameAs,540,http://example.org/HealthcareOrganization/d84356fb-13c2-40f6-8e05-27241529f5af,-6.9210625,0.756706
513,http://example.org/HealthcareOrganization/06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,1,http://www.w3.org/2002/07/owl#sameAs,540,http://example.org/HealthcareOrganization/d84356fb-13c2-40f6-8e05-27241529f5af,-6.9477825,0.75647676
513,http://example.org/HealthcareOrganization/06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,1,http://www.w3.org/2002/07/owl#sameAs,518,http://example.org/HealthcareOrganization/3dd45890-859a-4055-b885-505d2ba827fc,-6.9861784,0.7561472
519,http://example.org/HealthcareOrganization/3e332f35-086c-4768-b0fe-3cfc991ab513,1,http://www.w3.org/2002/07/owl#sameAs,526,http://example.org/HealthcareOrganization/5d393bf9-b2da-41f6-8c16-014a2e4a6e78,-7.0275955,0.75579137
535,http://example.org/HealthcareOrganization/a59cec98-126c-4c8f-b888-447911ebcd49,1,http://www.w3.org/2002/07/owl#sameAs,541,http://example.org/HealthcareOrganization/dcda33e1-e0d4-4e5e-b609-1eacd226d330,-7.0613985,0.7555007
515,http://example.org/HealthcareOrganization/27d99a23-e4f7-425e-afe6-790abc18a40b,1,http://www.w3.org/2002/07/owl#sameAs,532,http://example.org/HealthcareOrganization/953e26e3-fc1c-4b72-b4c5-f252799e3f62,-7.0717444,0.7554117
515,http://example.org/HealthcareOrganization/27d99a23-e4f7-425e-afe6-790abc18a40b,1,http://www.w3.org/2002/07/owl#sameAs,541,http://example.org/HealthcareOrganization/dcda33e1-e0d4-4e5e-b609-1eacd226d330,-7.0887175,0.7552656
528,http://example.org/HealthcareOrganization/71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,1,http://www.w3.org/2002/07/owl#sameAs,532,http://example.org/HealthcareOrganization/953e26e3-fc1c-4b72-b4c5-f252799e3f62,-7.0949593,0.7552119
532,http://example.org/HealthcareOrganization/953e26e3-fc1c-4b72-b4c5-f252799e3f62,1,http://www.w3.org/2002/07/owl#sameAs,535,http://example.org/HealthcareOrganization/a59cec98-126c-4c8f-b888-447911ebcd49,-7.1531405,0.75471056
